_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,ratings_got_dict,UTT,max_rating_with_variance,got_feedback_classifier,got_feedback_classifier_int,trip_nbr,trip_got_class,time_stamp
64db58d9ffbd07ec587b6f09,30001,3.8,3.2,2.7,3.6,3.8,"{'chatty_score': 100.78999999999999, 'safety_score': 100.77, 'punctuality_score': 88.62999999999998, 'friendliness_score': 107.62000000000002, 'comfortibility_score': 91.03}",15,107.62000000000002,friendliness_score,4,29,"{'1': 'chatty_score', '2': 'friendliness_score', '3': 'friendliness_score', '4': 'friendliness_score', '5': 'friendliness_score', '6': 'friendliness_score', '7': 'chatty_score', '8': 'chatty_score', '9': 'friendliness_score', '10': 'friendliness_score', '11': 'friendliness_score', '12': 'chatty_score', '13': 'chatty_score', '14': 'chatty_score', '15': 'chatty_score', '16': 'chatty_score', '17': 'chatty_score', '18': 'chatty_score', '19': 'punctuality_score', '20': 'safety_score', '21': 'punctuality_score', '22': 'safety_score', '23': 'safety_score', '24': 'safety_score', '25': 'safety_score', '26': 'safety_score', '27': 'safety_score', '28': 'safety_score', '29': 'friendliness_score'}",2023-08-17 07:12:21.815
64db5ccaffbd07ec587ba871,44697,3.5,3.5,3.2,3.5,3.3,"{'chatty_score': 4.07, 'safety_score': 1.9200000000000004, 'punctuality_score': 2.48, 'friendliness_score': 4.29, 'comfortibility_score': 3.4400000000000004}",20,4.29,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:04:38.630
64db5d3bffbd07ec587baede,46342,4.2,4.2,4.4,3.9,3.7,"{'chatty_score': 2.3499999999999996, 'safety_score': 1.3200000000000003, 'punctuality_score': 1.44, 'friendliness_score': 2.26, 'comfortibility_score': 2.4}",20,2.4,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:04:38.883
64db6205b4f06b54750b9e8a,134195,3.5,2.1,2.4,3.0,1.9,"{'chatty_score': 2.29, 'safety_score': 1.17, 'punctuality_score': 2.0, 'friendliness_score': 2.08, 'comfortibility_score': 1.4}",15,2.29,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:04:39.154
64db5e92ffbd07ec587bc26d,51349,2.9,1.5,1.7,2.8,1.8,"{'chatty_score': 1.32, 'safety_score': 3.66, 'punctuality_score': 0.6400000000000001, 'friendliness_score': 2.9600000000000004, 'comfortibility_score': 2.52}",30,3.66,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:05:56.032
64db6178b4f06b54750b967e,132135,3.8,4.5,3.5,3.4,4.3,"{'chatty_score': 2.17, 'safety_score': 1.18, 'punctuality_score': 0.5700000000000001, 'friendliness_score': 3.4400000000000004, 'comfortibility_score': 2.1}",30,3.4400000000000004,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:05:56.265
64db606affbd07ec587bdd52,58234,4.2,4.0,3.1,4.1,4.0,"{'chatty_score': 7.279999999999999, 'safety_score': 1.9, 'punctuality_score': 7.28, 'friendliness_score': 8.379999999999999, 'comfortibility_score': 1.8}",30,8.379999999999999,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:06:16.810
64db639eb4f06b54750bb5c1,140138,2.7,3.3,2.9,3.6,3.0,"{'chatty_score': 4.489999999999999, 'safety_score': 7.11, 'punctuality_score': 2.88, 'friendliness_score': 5.12, 'comfortibility_score': 6.319999999999999}",10,7.11,safety_score,2,2,"{'1': 'safety_score', '2': 'safety_score'}",2023-08-17 07:10:44.710
64db5a4affbd07ec587b8414,35388,3.8,3.1,2.9,4.1,2.9,"{'chatty_score': 2.37, 'safety_score': 1.4100000000000001, 'punctuality_score': 1.38, 'friendliness_score': 2.5, 'comfortibility_score': 0.96}",15,2.5,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:06:40.346
64db63f9b4f06b54750bbafe,141479,4.0,2.3,3.1,4.2,2.7,"{'chatty_score': 1.56, 'safety_score': 1.9600000000000002, 'punctuality_score': 1.44, 'friendliness_score': 2.59, 'comfortibility_score': 1.6500000000000001}",15,2.59,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:06:40.579
64db5c64ffbd07ec587ba29e,43206,3.8,3.8,3.2,3.4,3.1,"{'chatty_score': 2.97, 'safety_score': 2.9399999999999995, 'punctuality_score': 2.76, 'friendliness_score': 2.7, 'comfortibility_score': 1.65}",15,2.97,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:06:50.211
64db64edb4f06b54750bc8ec,145045,3.0,2.6,3.4,2.7,2.7,"{'chatty_score': 1.1300000000000001, 'safety_score': 1.9100000000000001, 'punctuality_score': 1.0, 'friendliness_score': 1.4, 'comfortibility_score': 1.6300000000000001}",15,1.9100000000000001,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:06:50.454
64db5cbaffbd07ec587ba77c,44452,3.8,2.4,3.3,3.4,2.9,"{'chatty_score': 3.7600000000000002, 'safety_score': 3.0300000000000002, 'punctuality_score': 1.6500000000000001, 'friendliness_score': 2.6599999999999997, 'comfortibility_score': 4.14}",30,4.14,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:07:03.129
64db6696b4f06b54750be148,151281,3.6,3.6,2.5,3.2,3.4,"{'chatty_score': 4.92, 'safety_score': 1.37, 'punctuality_score': 1.32, 'friendliness_score': 2.67, 'comfortibility_score': 1.03}",15,4.92,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:07:03.391
64db5fd9ffbd07ec587bd512,56122,4.5,4.4,4.6,4.4,4.2,"{'chatty_score': 8.229999999999999, 'safety_score': 9.08, 'punctuality_score': 9.72, 'friendliness_score': 9.12, 'comfortibility_score': 7.09}",15,9.72,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:07:33.411
64db5c57ffbd07ec587ba1e0,43016,3.6,3.7,2.8,2.9,3.8,"{'chatty_score': 5.449999999999999, 'safety_score': 4.0, 'punctuality_score': 3.96, 'friendliness_score': 1.69, 'comfortibility_score': 2.7800000000000002}",20,5.449999999999999,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:07:33.670
64db6637b4f06b54750bdbdd,149894,3.5,2.9,3.8,3.5,3.4,"{'chatty_score': 6.28, 'safety_score': 6.800000000000001, 'punctuality_score': 5.01, 'friendliness_score': 6.190000000000001, 'comfortibility_score': 5.15}",10,6.800000000000001,safety_score,2,2,"{'1': 'safety_score', '2': 'safety_score'}",2023-08-19 15:12:18.715
64db5a43ffbd07ec587b83ab,35283,2.5,3.8,2.8,2.8,3.3,"{'chatty_score': 2.16, 'safety_score': 5.67, 'punctuality_score': 2.87, 'friendliness_score': 2.0700000000000003, 'comfortibility_score': 5.19}",15,5.67,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:08:29.619
64db5a52ffbd07ec587b848a,35506,3.7,2.8,3.2,3.4,2.9,"{'chatty_score': 6.890000000000001, 'safety_score': 6.36, 'punctuality_score': 1.9299999999999997, 'friendliness_score': 5.640000000000001, 'comfortibility_score': 8.34}",25,8.34,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:08:29.882
64db66d4b4f06b54750be4c8,152177,3.6,3.8,3.5,3.0,3.7,"{'chatty_score': 3.69, 'safety_score': 5.96, 'punctuality_score': 2.7, 'friendliness_score': 2.62, 'comfortibility_score': 6.050000000000001}",15,6.050000000000001,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:08:30.181
64db5fffffbd07ec587bd739,56673,3.3,2.2,3.3,3.0,2.7,"{'chatty_score': 3.93, 'safety_score': 2.86, 'punctuality_score': 3.7399999999999998, 'friendliness_score': 3.8400000000000003, 'comfortibility_score': 2.98}",30,3.93,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:09:58.621
64db5aabffbd07ec587b8992,36794,2.7,2.1,2.0,2.6,2.9,"{'chatty_score': 3.18, 'safety_score': 2.56, 'punctuality_score': 2.7800000000000002, 'friendliness_score': 3.22, 'comfortibility_score': 3.42}",20,3.42,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:09:58.883
64db64d5b4f06b54750bc794,144701,3.4,4.3,3.8,3.8,4.3,"{'chatty_score': 2.8600000000000008, 'safety_score': 3.34, 'punctuality_score': 3.49, 'friendliness_score': 2.8000000000000003, 'comfortibility_score': 2.34}",10,3.49,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:09:59.172
64db58d9ffbd07ec587b6f0a,30002,2.4,4.0,3.2,2.6,4.0,"{'chatty_score': 51.05999999999999, 'safety_score': 45.13999999999999, 'punctuality_score': 41.099999999999994, 'friendliness_score': 43.4, 'comfortibility_score': 41.959999999999994}",30,51.05999999999999,chatty_score,1,16,"{'1': 'comfortibility_score', '2': 'comfortibility_score', '3': 'friendliness_score', '4': 'comfortibility_score', '5': 'friendliness_score', '6': 'chatty_score', '7': 'safety_score', '8': 'safety_score', '9': 'chatty_score', '10': 'chatty_score', '11': 'chatty_score', '12': 'chatty_score', '13': 'chatty_score', '14': 'chatty_score', '15': 'chatty_score', '16': 'chatty_score'}",2023-08-17 09:56:59.636
64db5aedffbd07ec587b8d58,37760,2.7,3.8,3.8,3.3,3.6,"{'chatty_score': 5.87, 'safety_score': 13.67, 'punctuality_score': 9.149999999999999, 'friendliness_score': 2.79, 'comfortibility_score': 9.86}",20,13.67,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:13:15.977
64db5cd5ffbd07ec587ba912,44858,2.8,3.3,3.2,3.2,3.0,"{'chatty_score': 3.1300000000000003, 'safety_score': 5.82, 'punctuality_score': 3.58, 'friendliness_score': 2.81, 'comfortibility_score': 5.02}",25,5.82,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:13:16.237
64db66afb4f06b54750be2af,151640,4.1,3.3,3.5,4.0,3.6,"{'chatty_score': 6.78, 'safety_score': 6.63, 'punctuality_score': 6.41, 'friendliness_score': 6.7, 'comfortibility_score': 8.54}",20,8.54,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:13:16.532
64db5b10ffbd07ec587b8f4d,38261,3.8,3.1,3.2,3.7,2.9,"{'chatty_score': 2.7199999999999998, 'safety_score': 1.33, 'punctuality_score': 2.5700000000000003, 'friendliness_score': 1.63, 'comfortibility_score': 1.48}",30,2.7199999999999998,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:14:24.481
64db61f7b4f06b54750b9dc2,133995,2.2,2.8,2.6,2.7,3.1,"{'chatty_score': 2.8100000000000005, 'safety_score': 1.62, 'punctuality_score': 3.1599999999999997, 'friendliness_score': 1.67, 'comfortibility_score': 1.2}",15,3.1599999999999997,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:14:24.707
