_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,variance_dict,UTT,max_variance,giving_feedback_classifier,giving_feedback_classifier_int,trip_nbr,trip_given_class,time_stamp,current_time
64db58d9ffbd07ec587b6f09,30001,3.8,3.2,2.7,3.6,3.8,"{'chatty_score': 0.7, 'safety_score': 0.8, 'punctuality_score': 0.6, 'friendliness_score': 0.7, 'comfortibility_score': 0.7}",15,0.8,safety_score,2,29,"{'1': 'friendliness_score', '2': 'friendliness_score', '3': 'friendliness_score', '4': 'chatty_score', '5': 'chatty_score', '6': 'chatty_score', '7': 'safety_score', '8': 'chatty_score', '9': 'chatty_score', '10': 'chatty_score', '11': 'chatty_score', '12': 'safety_score', '13': 'safety_score', '14': 'safety_score', '15': 'safety_score', '16': 'safety_score', '17': 'safety_score', '18': 'safety_score', '19': 'safety_score', '20': 'safety_score', '21': 'safety_score', '22': 'safety_score', '23': 'safety_score', '24': 'safety_score', '25': 'safety_score', '26': 'safety_score', '27': 'safety_score', '28': 'safety_score', '29': 'safety_score'}",2023-08-15 15:04:37.605,2023-08-17 07:12:15
64db5ccaffbd07ec587ba871,44697,3.5,3.5,3.2,3.5,3.3,"{'chatty_score': 0.3, 'safety_score': 0.1, 'punctuality_score': 0.3, 'friendliness_score': 0.2, 'comfortibility_score': 0.2}",20,0.3,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:04:37.793,
64db5d3bffbd07ec587baede,46342,4.2,4.2,4.4,3.9,3.7,"{'chatty_score': 0.3, 'safety_score': 0.2, 'punctuality_score': 0.6, 'friendliness_score': 0.1, 'comfortibility_score': 0.3}",20,0.6,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:04:37.915,
64db6205b4f06b54750b9e8a,134195,3.5,2.1,2.4,3.0,1.9,"{'chatty_score': 0.6, 'safety_score': 0.2, 'punctuality_score': 0.1, 'friendliness_score': 0.2, 'comfortibility_score': 0.5}",15,0.6,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:04:38.054,
64db5e92ffbd07ec587bc26d,51349,2.9,1.5,1.7,2.8,1.8,"{'chatty_score': 1.3, 'safety_score': 0.2, 'punctuality_score': 0.1, 'friendliness_score': 1.8, 'comfortibility_score': 0.7}",30,1.8,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:05:55.335,
64db6178b4f06b54750b967e,132135,3.8,4.5,3.5,3.4,4.3,"{'chatty_score': 0.1, 'safety_score': 0.9, 'punctuality_score': 0.0, 'friendliness_score': 0.2, 'comfortibility_score': 1.0}",30,1.0,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:05:55.474,
64db606affbd07ec587bdd52,58234,4.2,4.0,3.1,4.1,4.0,"{'chatty_score': 0.1, 'safety_score': 0.2, 'punctuality_score': 0.2, 'friendliness_score': 0.0, 'comfortibility_score': 0.1}",30,0.2,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:06:15.961,
64db639eb4f06b54750bb5c1,140138,2.7,3.3,2.9,3.6,3.0,"{'chatty_score': 1.3, 'safety_score': 0.5, 'punctuality_score': 1.1, 'friendliness_score': 1.3, 'comfortibility_score': 0.1}",10,1.3,chatty_score,1,2,"{'1': 'chatty_score', '2': 'chatty_score'}",2023-08-15 15:06:16.121,2023-08-17 07:10:39
64db5a4affbd07ec587b8414,35388,3.8,3.1,2.9,4.1,2.9,"{'chatty_score': 0.3, 'safety_score': 0.4, 'punctuality_score': 0.4, 'friendliness_score': 0.5, 'comfortibility_score': 0.1}",15,0.5,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:06:39.456,
64db63f9b4f06b54750bbafe,141479,4.0,2.3,3.1,4.2,2.7,"{'chatty_score': 0.1, 'safety_score': 0.1, 'punctuality_score': 0.2, 'friendliness_score': 0.2, 'comfortibility_score': 0.0}",15,0.2,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:06:39.603,
64db5c64ffbd07ec587ba29e,43206,3.8,3.8,3.2,3.4,3.1,"{'chatty_score': 0.1, 'safety_score': 0.5, 'punctuality_score': 0.1, 'friendliness_score': 0.2, 'comfortibility_score': 0.2}",15,0.5,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:06:49.212,
64db64edb4f06b54750bc8ec,145045,3.0,2.6,3.4,2.7,2.7,"{'chatty_score': 0.1, 'safety_score': 0.1, 'punctuality_score': 0.1, 'friendliness_score': 0.3, 'comfortibility_score': 0.0}",15,0.3,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:06:49.362,
64db5cbaffbd07ec587ba77c,44452,3.8,2.4,3.3,3.4,2.9,"{'chatty_score': 1.1, 'safety_score': 0.1, 'punctuality_score': 0.1, 'friendliness_score': 0.6, 'comfortibility_score': 0.1}",30,1.1,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:07:02.012,
64db6696b4f06b54750be148,151281,3.6,3.6,2.5,3.2,3.4,"{'chatty_score': 0.2, 'safety_score': 0.6, 'punctuality_score': 0.1, 'friendliness_score': 0.0, 'comfortibility_score': 1.0}",15,1.0,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:07:02.170,
64db5fd9ffbd07ec587bd512,56122,4.5,4.4,4.6,4.4,4.2,"{'chatty_score': 0.5, 'safety_score': 0.2, 'punctuality_score': 0.1, 'friendliness_score': 0.1, 'comfortibility_score': 0.2}",15,0.5,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:07:31.988,
64db5c57ffbd07ec587ba1e0,43016,3.6,3.7,2.8,2.9,3.8,"{'chatty_score': 1.3, 'safety_score': 1.1, 'punctuality_score': 1.6, 'friendliness_score': 1.6, 'comfortibility_score': 0.8}",20,1.6,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:07:32.111,
64db6637b4f06b54750bdbdd,149894,3.5,2.9,3.8,3.5,3.4,"{'chatty_score': 1.2, 'safety_score': 1.0, 'punctuality_score': 1.0, 'friendliness_score': 0.7, 'comfortibility_score': 0.9}",10,1.2,chatty_score,1,2,"{'1': 'chatty_score', '2': 'chatty_score'}",2023-08-15 15:07:32.269,2023-08-19 15:12:14
64db5a43ffbd07ec587b83ab,35283,2.5,3.8,2.8,2.8,3.3,"{'chatty_score': 0.9, 'safety_score': 0.2, 'punctuality_score': 0.2, 'friendliness_score': 0.6, 'comfortibility_score': 1.0}",15,1.0,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:08:27.994,
64db5a52ffbd07ec587b848a,35506,3.7,2.8,3.2,3.4,2.9,"{'chatty_score': 0.2, 'safety_score': 1.4, 'punctuality_score': 0.7, 'friendliness_score': 0.1, 'comfortibility_score': 1.1}",25,1.4,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:08:28.117,
64db66d4b4f06b54750be4c8,152177,3.6,3.8,3.5,3.0,3.7,"{'chatty_score': 0.5, 'safety_score': 0.9, 'punctuality_score': 0.3, 'friendliness_score': 0.5, 'comfortibility_score': 0.6}",15,0.9,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:08:28.275,
64db5fffffbd07ec587bd739,56673,3.3,2.2,3.3,3.0,2.7,"{'chatty_score': 0.1, 'safety_score': 0.1, 'punctuality_score': 0.2, 'friendliness_score': 0.1, 'comfortibility_score': 0.1}",30,0.2,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:09:56.927,
64db5aabffbd07ec587b8992,36794,2.7,2.1,2.0,2.6,2.9,"{'chatty_score': 0.1, 'safety_score': 0.3, 'punctuality_score': 0.7, 'friendliness_score': 0.1, 'comfortibility_score': 0.1}",20,0.7,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:09:57.046,
64db64d5b4f06b54750bc794,144701,3.4,4.3,3.8,3.8,4.3,"{'chatty_score': 0.2, 'safety_score': 0.3, 'punctuality_score': 0.3, 'friendliness_score': 0.5, 'comfortibility_score': 0.5}",10,0.5,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:09:57.198,
64db58d9ffbd07ec587b6f0a,30002,2.4,4.0,3.2,2.6,4.0,"{'chatty_score': 0.7, 'safety_score': 0.4, 'punctuality_score': 0.7, 'friendliness_score': 0.7, 'comfortibility_score': 0.6}",30,0.7,chatty_score,1,16,"{'1': 'punctuality_score', '2': 'punctuality_score', '3': 'chatty_score', '4': 'chatty_score', '5': 'chatty_score', '6': 'chatty_score', '7': 'chatty_score', '8': 'chatty_score', '9': 'chatty_score', '10': 'punctuality_score', '11': 'chatty_score', '12': 'chatty_score', '13': 'chatty_score', '14': 'chatty_score', '15': 'chatty_score', '16': 'chatty_score'}",2023-08-15 15:13:15.058,2023-08-17 09:56:57
64db5aedffbd07ec587b8d58,37760,2.7,3.8,3.8,3.3,3.6,"{'chatty_score': 0.9, 'safety_score': 0.4, 'punctuality_score': 0.2, 'friendliness_score': 1.1, 'comfortibility_score': 1.0}",20,1.1,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:13:15.181,
